created_on,content
2021-02-03T15:45:29.957Z,its about time blacks realised the women who started blm were jew women jews will use you all destroy your families to keep jews on top
2021-06-12T13:47:13.022Z,the islamic and sharia controlled middle eastern countries bitch and complain about the you banning muslims really but they like to do it hmm what that word that sums this up starts with an h islam islamism muslims muslim banislam banmuslims maga gabfam americafirst trump
2020-10-13T15:17:53.361Z,so now you are calling yourself whoever agrees with you severely retarded baboons
2022-04-26T19:10:13.602Z,a million thumbs up we need museums of victims there have been so many as is we do not even have many online memorials for white victims of black violence the memorial pages for victims of illegal alien crime are very simplistic wichita massacre victims deserve a monument
2021-03-08T21:52:38.409Z,these your kike bosses too feldman is cernovichs bossman he the most anti white kike on twitter
2021-09-02T16:34:33.663Z,trump has no use for immigrants but dictators are fine wow
2021-11-29T10:28:21.070Z,v2 challs kroc is scared of comp so do not be a dumb sweater retard
2021-02-16T15:05:08.017Z,i just know that gays with airpods are going to cheat on me
2021-06-19T05:32:35.716Z,she will blame it on jews or trump i bet
2021-03-17T05:51:20.801Z,you might be a racist if you buy green olives in a jar but pass on the black olives in the can
2021-11-10T06:28:28.735Z,i wish you were gay
2020-06-16T10:53:29.560Z,reminder that about out of undocumented immigrants in the us are from places other than central america around of that are white yet the majority of ice detainees are latinx so do not try to say this is not about race
2021-05-08T12:41:44.315Z,lol finally one nigglet out of millions learned how to use white people invention
2021-05-29T09:02:41.337Z,you fucking kike troll eat shit with your nazi obvious cuckfaggory
2022-03-15T07:05:41.881Z,fuck you are a faggot lol that really the best you got
2020-10-30T21:08:37.205Z,found a publisher that publishes work only by lesbians how would a person screen for that sort of qualification is there a special lesbian test that i am unaware of maybe it like a blood test but gay
2021-04-16T06:06:52.275Z,that funny hoodbilly i have always referred to myself as ghetto hick because halfway through my childhood my parents moved me from the city to the country i am a white girl who can rap and change brakes on a muddin truck hehe
2020-07-11T17:54:20.162Z,getting an all white kitty tomorrow
2021-03-03T14:57:43.146Z,buddhists shit on kike filth religions so do most of the world we will kill kikes christfags hajjis as easy as stepping on ants
2022-03-04T21:45:10.627Z,you can not expect a minority immigrant refugee to understand the intricacies of american racist rhetoric
2021-09-23T00:01:30.132Z,nigger better keep his head down lolol an audit he wants an audit he will get
2022-01-10T17:27:18.510Z,welcome to gabfam perhaps your interactions here will convince you to stop using that social media ghetto instagram not sure we have a freedom based alternative yet keep looking i will speakfreely computefreely
2021-10-22T02:45:17.439Z,some nigger that played in the nfl
2021-02-17T00:05:21.559Z,texans pay him an annual salary of he advocates black violence against whites meet professor tommy curry of texas a m gig them aggies
2020-07-23T22:17:25.827Z,this bitch kenny got my key i can t emuss lock the damn door
2020-05-02T22:04:29.541Z,and you can be racist to everyone by basically saying all white people are racist because of their skin colour is racist itself you need to stop and think
